n,h,max_error,rms_error,mean_phi,observed_order_max
17,6.25000000e-02,4.46985181e-04,1.75017303e-04,-3.99526625e-17,
25,4.16666667e-02,1.98921581e-04,7.62857666e-05,7.95807864e-17,1.99675568e+00
33,3.12500000e-02,1.11966534e-04,4.24831331e-05,-3.26236334e-18,1.99772844e+00
49,2.08333333e-02,4.97952921e-05,1.86895564e-05,-8.87808499e-17,1.99839534e+00
65,1.56250000e-02,2.80189352e-05,1.04585359e-05,3.36351591e-18,1.99887292e+00
