sigma0,vloop_two_way_threshold,vloop_strong_threshold,max_feedback_at_max_voltage
200000.0,0.4193809159911974,nan,0.0023834577952275868
500000.0,0.16759255156979053,nan,0.005958495489723231
800000.0,0.10464455710099128,nan,0.00953353318423517
1200000.0,0.06967158854660133,0.6992070424522157,0.014300250110255286
2000000.0,0.04133441929005384,0.41941842749975433,0.02383368396229913
