sigma,velocity,rm,max_induced_b_over_b0,current_linf_rel_error,wall_bx_mismatch,net_current,magnetic_diffusion_time,flow_time,tau_m_over_tau_u
200000.0,0.02,0.0002513274122871835,3.224452159828225e-05,1.8750117192529815e-05,1.0164395367051604e-19,-5.684341886080802e-14,0.0006283185307179588,2.5,0.00025132741228718353
200000.0,0.05,0.0006283185307179588,8.06113039957057e-05,1.8750117192216037e-05,5.116079001415974e-19,-4.547473508864641e-13,0.0006283185307179588,1.0,0.0006283185307179588
200000.0,0.1,0.0012566370614359177,0.0001612226079914114,1.8750117192216037e-05,1.0232158002831948e-18,-9.094947017729282e-13,0.0006283185307179588,0.5,0.0012566370614359177
200000.0,0.2,0.0025132741228718353,0.0003224452159828228,1.8750117192216037e-05,2.0464316005663896e-18,-1.8189894035458565e-12,0.0006283185307179588,0.25,0.0025132741228718353
200000.0,0.5,0.0062831853071795875,0.0008061130399570562,1.8750117192780835e-05,1.2874900798265365e-18,4.092726157978177e-12,0.0006283185307179588,0.1,0.006283185307179588
200000.0,1.0,0.012566370614359175,0.0016122260799141125,1.8750117192780835e-05,2.574980159653073e-18,8.185452315956354e-12,0.0006283185307179588,0.05,0.012566370614359177
800000.0,0.02,0.001005309649148734,0.000128978086393129,1.8750117192529815e-05,4.0657581468206416e-19,-2.2737367544323206e-13,0.0025132741228718353,2.5,0.0010053096491487341
800000.0,0.05,0.0025132741228718353,0.0003224452159828228,1.8750117192216037e-05,2.0464316005663896e-18,-1.8189894035458565e-12,0.0025132741228718353,1.0,0.0025132741228718353
800000.0,0.1,0.005026548245743671,0.0006448904319656456,1.8750117192216037e-05,4.092863201132779e-18,-3.637978807091713e-12,0.0025132741228718353,0.5,0.005026548245743671
800000.0,0.2,0.010053096491487341,0.0012897808639312912,1.8750117192216037e-05,8.185726402265558e-18,-7.275957614183426e-12,0.0025132741228718353,0.25,0.010053096491487341
800000.0,0.5,0.02513274122871835,0.003224452159828225,1.8750117192780835e-05,5.149960319306146e-18,1.6370904631912708e-11,0.0025132741228718353,0.1,0.025132741228718353
800000.0,1.0,0.0502654824574367,0.00644890431965645,1.8750117192780835e-05,1.0299920638612292e-17,3.2741809263825417e-11,0.0025132741228718353,0.05,0.05026548245743671
3200000.0,0.02,0.004021238596594936,0.000515912345572516,1.8750117192529815e-05,1.6263032587282567e-18,-9.094947017729282e-13,0.010053096491487341,2.5,0.0040212385965949365
3200000.0,0.05,0.010053096491487341,0.0012897808639312912,1.8750117192216037e-05,8.185726402265558e-18,-7.275957614183426e-12,0.010053096491487341,1.0,0.010053096491487341
3200000.0,0.1,0.020106192982974683,0.0025795617278625825,1.8750117192216037e-05,1.6371452804531117e-17,-1.4551915228366852e-11,0.010053096491487341,0.5,0.020106192982974683
3200000.0,0.2,0.040212385965949365,0.005159123455725165,1.8750117192216037e-05,3.2742905609062234e-17,-2.9103830456733704e-11,0.010053096491487341,0.25,0.040212385965949365
3200000.0,0.5,0.1005309649148734,0.0128978086393129,1.8750117192780835e-05,2.0599841277224584e-17,6.548361852765083e-11,0.010053096491487341,0.1,0.10053096491487341
3200000.0,1.0,0.2010619298297468,0.0257956172786258,1.8750117192780835e-05,4.119968255444917e-17,1.3096723705530167e-10,0.010053096491487341,0.05,0.20106192982974683
