n,h,max_error,rms_error,observed_order,max_divJ,max_wall_current,max_fe_boundary_current,rms_fe_boundary_current
9,1.250000000000e-01,9.333456362783e-06,4.106637500090e-06,,7.739546364904e-10,1.301535281368e-05,3.476925916054e-03,3.013707325921e-03
17,6.250000000000e-02,2.337646523812e-06,9.735358941772e-07,1.997355,5.555617077491e-11,3.254872965198e-06,1.744250034679e-03,1.507118997588e-03
25,4.166666666667e-02,1.039573174363e-06,4.245230030189e-07,1.998531,1.151190254234e-11,1.446693475299e-06,1.164113849482e-03,1.004801418650e-03
33,3.125000000000e-02,5.849324224540e-07,2.364662735263e-07,1.998975,3.729766495653e-12,8.137813413696e-07,8.735648034574e-04,7.536213482028e-04
49,2.083333333333e-02,2.600461530720e-07,1.040513384548e-07,1.999277,7.546185898377e-13,3.616857316653e-07,5.826958065721e-04,5.024275334074e-04
