path,suffix,bytes,sha256,csv_rows,image_width,image_height,image_luma_stddev,image_nonblank
cases/lm_mhd_coupling/results/plasma_interface_current_feedback_scan.csv,.csv,1374291,0a06e07adeb4350ecb096e7d7fca8822c5f89de0012036a6d8e2e7c0d0be448f,6400,,,,
cases/lm_mhd_coupling/results/plasma_interface_current_feedback_scan.png,.png,131483,c8c62e51984b485d3865bd97724a90b3341d9599a0c555b5faf51828b355a917,,2394,731,82.218847161535,true
cases/lm_mhd_coupling/results/plasma_interface_current_feedback_scan_summary.md,.md,661,6881407e56cd65ce5f57194015b237ad0e0a8d851a9bb8f6c046df2e723ca3dd,,,,,
cases/lm_mhd_coupling/results/plasma_interface_free_surface_gate_scan.csv,.csv,2149690,33a796c4b7d87ffaa11b45851403daa8baeed88f145f9939042f92ff93f784c6,6400,,,,
cases/lm_mhd_coupling/results/plasma_interface_free_surface_gate_scan.png,.png,151851,2c663c5a43a6d23aabb05600b3a6fab973c98217e466e63c9f83dfd7415bbccf,,1844,1472,80.91457545026516,true
cases/lm_mhd_coupling/results/plasma_interface_free_surface_gate_scan_summary.md,.md,1450,e99da3b48b45687dd597ed6f6c240fbefd2157caec8d0927c8ad42e381928a60,,,,,
cases/lm_mhd_coupling/results/plasma_interface_marangoni_scan.csv,.csv,1017717,d9d910188715a911d9ed23e58e13f7162aaae4985357ba492ed678011a3f9b71,6400,,,,
cases/lm_mhd_coupling/results/plasma_interface_marangoni_scan.png,.png,129537,efd857234750729f272b188c2cd8c79910db071a4ba5dd833a585b86110314b4,,2409,731,82.02404870190061,true
cases/lm_mhd_coupling/results/plasma_interface_marangoni_scan_summary.md,.md,612,608b027573ca33506d4bdb1699e7dc522a5b14541cb951360c339185012bcb0f,,,,,
cases/lm_mhd_coupling/results/plasma_interface_sheath_scan.csv,.csv,749229,0d55dee6d0bb39354a51c1f6d01c81474cd816b060859be1e4725451b4e072a3,6400,,,,
cases/lm_mhd_coupling/results/plasma_interface_sheath_scan.png,.png,121870,ba2ec6059aa6af1cb8b25cf04ea0f87a85b31db854b0d31d72e222479c4da03a,,2414,705,78.65418676262165,true
cases/lm_mhd_coupling/results/plasma_interface_sheath_scan_summary.md,.md,607,ea60f64aac91bb936cf00d4e5994fe03b056de2c2c436153df62a2c8a5e602d6,,,,,
cases/lm_mhd_coupling/results/plasma_interface_thermal_response_scan.csv,.csv,842700,1cd0cde44a60a8f7afcd616b397a4cc1ff6645820894ae644b9dd9705ccbcd10,6400,,,,
cases/lm_mhd_coupling/results/plasma_interface_thermal_response_scan.png,.png,109851,96d062c2bba2e2854dbd078ae3b61a3393629761bf8251be2e82afcd3f8e9770,,2407,731,86.58348098742259,true
cases/lm_mhd_coupling/results/plasma_interface_thermal_response_scan_summary.md,.md,613,5491aa6a46d3869b0db296242a8761eec21b6633d62e784298bdd63b6edcfcc6,,,,,
cases/lm_mhd_coupling/results/reference_matrix_runs.csv,.csv,1555,b0900e4581a1ec1db9c958038f8e64f4bdc99a5ef6f0f1ce6e78057ef9561039,5,,,,
cases/lm_mhd_coupling/results/reference_matrix_summary.md,.md,1173,9e5511edee43f7cf461c8a48fa7e94d1061871ec34eff4d5d3350633dbfb1441,,,,,
