n,h,max_error,rms_error,observed_order,max_axisym_divJ,max_wall_current
9,1.250000000000e-01,1.942808451781e-05,1.042397629771e-05,,9.255253273189e-06,4.841918769336e-05
17,6.250000000000e-02,4.885572139745e-06,2.467391585068e-06,1.991544,2.593167766731e-06,1.217850395776e-05
25,4.166666666667e-02,2.175403885126e-06,1.075260243611e-06,1.995417,1.199422914117e-06,5.419491778979e-06
33,3.125000000000e-02,1.224779610841e-06,5.987353231956e-07,1.996834,6.884873962956e-07,3.049868558525e-06
49,2.083333333333e-02,5.448357345717e-07,2.633662904825e-07,1.997784,3.123188899688e-07,1.355956163358e-06
