n,h,max_error,rms_error,max_interface_target_error,max_interface_jump
17,6.250000000000e-02,5.551115123126e-16,1.544554926806e-16,4.269804995682e-15,3.108624468950e-15
33,3.125000000000e-02,2.553512956638e-15,1.326989251762e-15,1.270858418501e-14,7.660538869914e-15
49,2.083333333333e-02,1.237898672457e-14,6.660466428357e-15,6.239626870741e-14,8.881784197001e-15
