sigma0,loop_voltage,e_phi_min,e_phi_max,total_toroidal_current,absolute_toroidal_current,max_delta_b,max_feedback,rms_feedback,classification,max_abs_j_phi,max_abs_force,max_joule_heating,integrated_joule_power,integrated_mechanical_power,integrated_electric_power,integrated_power_balance_residual,max_abs_power_balance_residual,net_axisymmetric_torque,max_abs_axisym_divJ,max_wall_normal_current,max_abs_boundary_current,net_boundary_current
200000.0,0.0,0.0,0.0,-1.2274728356569469,76.85290083377484,2.803227304015129e-05,5.606454608030259e-06,3.5337335501696273e-06,weak-feedback,165.35999999999922,1003.8004112394862,0.21621727805797958,0.8854413621934997,-0.8854413621934993,3.8337388819087437e-16,3.872866012599722e-18,3.3306690738754696e-16,9.256727628390166,2.3987922759260982e-11,0.0,0.0,0.0
200000.0,0.05,0.0039788735772973835,0.007957747154594767,1096.9478275483684,1096.9478275483684,0.0005994047974185152,0.00011988095948370304,7.405364047633782e-05,weak-feedback,1620.7866210953375,1231.6411600489296,13.961926411858915,55.671459097829086,-0.8240677204106521,54.84739137741843,-9.163829499064963e-17,3.552713678800501e-15,9.256727628390166,2.3987922759260982e-11,0.0,0.0,0.0
200000.0,0.1,0.007957747154594767,0.015915494309189534,2195.123127932394,2195.123127932394,0.0011950395493272887,0.00023900790986545773,0.0001486464536252069,weak-feedback,3129.9832533493955,1467.5227089542473,51.6659662990327,220.27500687186722,-0.7626940786278045,219.5123127932394,1.1069622645554946e-15,2.1316282072803006e-14,9.256727628390166,2.3987922759260982e-11,0.0,0.0,0.0
200000.0,0.2,0.015915494309189534,0.03183098861837907,4391.473728700445,4391.473728700445,0.0023863812344731027,0.00047727624689462053,0.0002978935003119835,weak-feedback,6173.089072541281,1952.164898740645,199.3156937438507,878.934692535151,-0.6399467950621114,878.294745740089,2.232235838725496e-16,5.684341886080802e-14,9.256727628390166,2.3987922759260982e-11,0.0,0.0,0.0
200000.0,0.5,0.039788735772973836,0.07957747154594767,10980.525531004598,10980.525531004598,0.00596046435886634,0.001192092871773268,0.0007456834290017568,two-way-candidate,15467.824423005744,3435.515102253395,1226.2225135720623,5490.534470446663,-0.27170494436502324,5490.262765502298,4.9907910338005425e-14,4.547473508864641e-13,9.256727628390166,2.3987922759260982e-11,0.0,0.0,0.0
200000.0,1.0,0.07957747154594767,0.15915494309189535,21962.278534844852,21962.278534844852,0.011917288976137934,0.0023834577952275868,0.0014920161783836437,two-way-candidate,31065.00884601149,5973.651463003298,4923.646809197817,21961.936503371384,0.3420314734634431,21962.278534844852,-3.824099021216641e-14,1.8189894035458565e-12,9.256727628390166,2.3987922759260982e-11,0.0,0.0,0.0
500000.0,0.0,0.0,0.0,-3.485521814037668,191.5824498559734,6.996816836991685e-05,1.399363367398337e-05,8.811367762693345e-06,weak-feedback,413.39999999999804,1013.4380653338472,0.32245199999999696,1.128373867636214,-1.1283738676362107,3.282096816548119e-15,-3.315484152633944e-17,3.469446951953614e-16,9.25672762839018,4.96527263749158e-11,0.0,0.0,0.0
500000.0,0.05,0.0039788735772973835,0.007957747154594767,2741.9527291460254,2741.9527291460254,0.0014977687942801885,0.0002995537588560377,0.00018509519805002853,weak-feedback,4051.949357249235,1597.4330706341416,34.90481602964729,138.05173423423565,-0.9540977769343275,137.0976364573013,-3.7767076079998704e-17,1.4210854715202004e-14,9.25672762839018,4.96527263749158e-11,0.0,0.0,0.0
500000.0,0.1,0.007957747154594767,0.015915494309189534,5487.390980106089,5487.390980106089,0.0029868547060794013,0.0005973709412158803,0.00037157791939778967,weak-feedback,7824.860787685443,2205.3957767953616,129.1643454173103,549.5189196968414,-0.7798216862324434,548.7390980106089,-1.7984321942856818e-16,2.842170943040401e-14,9.25672762839018,4.96527263749158e-11,0.0,0.0,0.0
500000.0,0.2,0.015915494309189534,0.03183098861837907,10978.267482026216,10978.267482026216,0.005965208455370831,0.0011930416910741661,0.0007446958862381708,two-way-candidate,15432.573794634452,3445.3302914375927,498.282890028351,2196.0847659100723,-0.431269504828677,2195.6534964052435,8.301127025260562e-15,1.1368683772161603e-13,9.25672762839018,4.96527263749158e-11,0.0,0.0,0.0
