n,h,max_error,rms_error,observed_order_max,observed_order_rms
17,6.25000000e-02,3.21896444e-03,1.51480680e-03,,
25,4.16666667e-02,1.42911832e-03,6.85976792e-04,2.00264338e+00,1.95380409e+00
33,3.12500000e-02,8.03577679e-04,3.89613420e-04,2.00130342e+00,1.96636785e+00
49,2.08333333e-02,3.57050010e-04,1.74881637e-04,2.00066044e+00,1.97562161e+00
65,1.56250000e-02,2.00821810e-04,9.88661217e-05,2.00032576e+00,1.98254536e+00
