material,electron_density,electron_temperature_ev,wavelength,wavenumber,normal_stress,heat_flux,surface_stiffness,magnetic_stiffness,angular_frequency,period,magnetic_damping_rate,magnetic_damping_ratio,explicit_timestep,static_displacement,displacement_fraction,thermal_penetration_fraction,cells_per_wavelength,cells_across_layer,gate_score,linear_ok,surface_resolved,normal_resolved,timestep_ok
Li,1e+18,20.0,0.001,6283.185307179586,3.2043532679999998,691875.8567001799,125015006702.01463,124999999999.99998,1253389.3675048116,5.012955646566442e-06,160000.0,0.0638269336521182,3.989183353257387e-08,2.5631748959849963e-11,1.2815874479924982e-08,0.4879500364742666,10.0,100.0,2,True,False,True,False
Li,1.0600258488068824e+18,20.0,0.001,6283.185307179586,3.3966972927888075,733406.292267597,125015006702.01463,124999999999.99998,1253389.3675048116,5.012955646566442e-06,160000.0,0.0638269336521182,3.989183353257387e-08,2.7170316447569884e-11,1.3585158223784941e-08,0.4879500364742666,10.0,100.0,2,True,False,True,False
Li,1.1236548001387516e+18,20.0,0.001,6283.185307179586,3.6005869309284955,777429.6274812681,125015006702.01463,124999999999.99998,1253389.3675048116,5.012955646566442e-06,160000.0,0.0638269336521182,3.989183353257387e-08,2.8801237754686866e-11,1.4400618877343432e-08,0.4879500364742666,10.0,100.0,2,True,False,True,False
Li,1.191103133283008e+18,20.0,0.001,6283.185307179586,3.8167152176604464,824095.5007584497,125015006702.01463,124999999999.99998,1253389.3675048116,5.012955646566442e-06,160000.0,0.0638269336521182,3.989183353257387e-08,3.0530056497600776e-11,1.5265028248800388e-08,0.4879500364742666,10.0,100.0,2,True,False,True,False
Li,1.2626001098748577e+18,20.0,0.001,6283.185307179586,4.045816788254659,873562.5326894084,125015006702.01463,124999999999.99998,1253389.3675048116,5.012955646566442e-06,160000.0,0.0638269336521182,3.989183353257387e-08,3.236264905299133e-11,1.6181324526495664e-08,0.4879500364742666,10.0,100.0,2,True,False,True,False
Li,1.3383887531737592e+18,20.0,0.001,6283.185307179586,4.28867037508678,925998.8651999801,125015006702.01463,124999999999.99998,1253389.3675048116,5.012955646566442e-06,160000.0,0.0638269336521182,3.989183353257387e-08,3.430524453203639e-11,1.7152622266018195e-08,0.4879500364742666,10.0,100.0,2,True,False,True,False
Li,1.418726674116599e+18,20.0,0.001,6283.185307179586,4.546101454604295,981582.7330778189,125015006702.01463,124999999999.99998,1253389.3675048116,5.012955646566442e-06,160000.0,0.0638269336521182,3.989183353257387e-08,3.6364445953599535e-11,1.8182222976799766e-08,0.4879500364742666,10.0,100.0,2,True,False,True,False
Li,1.5038869469554132e+18,20.0,0.001,6283.185307179586,4.81898505317912,1040503.0698049943,125015006702.01463,124999999999.99998,1253389.3675048116,5.012955646566442e-06,160000.0,0.0638269336521182,3.989183353257387e-08,3.8547252688356346e-11,1.9273626344178174e-08,0.4879500364742666,10.0,100.0,2,True,False,True,False
Li,1.5941590374560028e+18,20.0,0.001,6283.185307179586,5.108248721383876,1102960.149756206,125015006702.01463,124999999999.99998,1253389.3675048116,5.012955646566442e-06,160000.0,0.0638269336521182,3.989183353257387e-08,4.086108425014831e-11,2.0430542125074155e-08,0.4879500364742666,10.0,100.0,2,True,False,True,False
Li,1.689849786812462e+18,20.0,0.001,6283.185307179586,5.414875686801616,1169166.2689454886,125015006702.01463,124999999999.99998,1253389.3675048116,5.012955646566442e-06,160000.0,0.0638269336521182,3.989183353257387e-08,4.3313805515433006e-11,2.16569027577165e-08,0.4879500364742666,10.0,100.0,2,True,False,True,False
