peak_j_phi_A_m2,total_toroidal_current_A,absolute_toroidal_current_A,centroid_R_m,centroid_Z_m,max_delta_B_T,rms_delta_B_T,max_feedback,rms_feedback,classification
10000.0,2162.953619891741,2162.953619891741,1.7785522134700307,-4.226684630952026e-17,0.0012881003609389226,0.0009132062015998727,0.0002576200721877845,0.00018264124031997455,weak-feedback
30000.0,6488.860859675223,6488.860859675223,1.7785522134700278,-1.4255834938814393e-17,0.003864301082816775,0.0027396186047996185,0.0007728602165633549,0.0005479237209599237,weak-feedback
100000.0,21629.53619891741,21629.53619891741,1.7785522134700271,5.762485177799236e-18,0.012881003609389237,0.009132062015998726,0.0025762007218778473,0.0018264124031997452,two-way-candidate
300000.0,64888.60859675222,64888.60859675222,1.778552213470029,5.258444836615164e-18,0.03864301082816768,0.027396186047996183,0.007728602165633536,0.005479237209599237,two-way-candidate
1000000.0,216295.3619891741,216295.3619891741,1.7785522134700311,-9.15029713176518e-18,0.12881003609389216,0.09132062015998728,0.025762007218778433,0.018264124031997456,strong-two-way-candidate
3000000.0,648886.0859675223,648886.0859675223,1.778552213470031,7.138378966506599e-17,0.38643010828167773,0.27396186047996185,0.07728602165633555,0.05479237209599237,strong-two-way-candidate
