electron_density,electron_temperature_ev,heat_flux,ion_current_density,normal_stress,surface_displacement
1e+18,2.0,21879.03565252838,1562.788260894884,0.3204353268,7.556043054614154e-06
1.0600258488068824e+18,2.0,23192.343338647435,1656.5959527605312,0.3396697292788808,8.009600952588718e-06
1.1236548001387516e+18,2.0,24584.483433370395,1756.034530955028,0.36005869309284955,8.49038404837227e-06
1.191103133283008e+18,2.0,26060.18791893719,1861.4419942097993,0.38167152176604463,9.00002655757223e-06
1.2626001098748577e+18,2.0,27624.472818838258,1973.1766299170183,0.4045816788254659,9.540260790974987e-06
1.3383887531737592e+18,2.0,29282.655247631683,2091.6182319736918,0.4288670375086781,1.0112923042792283e-05
1.418726674116599e+18,2.0,31040.371484190076,2217.1693917278626,0.45461014546042955,1.0719959832354568e-05
1.5038869469554132e+18,2.0,32903.59612980954,2350.256866414967,0.4818985053179122,1.1363434520467338e-05
1.5941590374560028e+18,2.0,34878.662416300205,2491.3330297357293,0.5108248721383878,1.2045534322919818e-05
1.689849786812462e+18,2.0,36972.28373308734,2640.877409506238,0.5414875686801616,1.2768577744985513e-05
1.7912844546220096e+18,2.0,39191.5764464948,2799.3983176067713,0.5739908196085635,1.353502246218494e-05
1.898807824465269e+18,2.0,41544.08408877547,2967.4345777696763,0.6084451057629255,1.4347473674097809e-05
2.0127853758499466e+18,2.0,44037.80299910872,3145.557357079194,0.6449675396887385,1.5208692959619932e-05
2.133604526501402e+18,2.0,46681.20950372011,3334.372107408579,0.6836822637114361,1.6121607663764244e-05
2.2616759492228552e+18,2.0,49483.2887275128,3534.520623393772,0.7247208719049258,1.7089320847913232e-05
2.3974349678010685e+18,2.0,52453.565135137804,3746.6832239384144,0.7682228573890829,1.8115121837342375e-05
2.541343036702629e+18,2.0,55602.134905321545,3971.5810646658247,0.8143360864767112,1.920249740186894e-05
2.693889309590164e+18,2.0,58939.700248488254,4209.978589177733,0.8632173012815505,2.035514360762808e-05
2.8555923019901005e+18,2.0,62477.60578432699,4462.686127451928,0.9150326524957622,2.1576978380261943e-05
3.0270016537634555e+18,2.0,66227.877102953,4730.562650210929,0.9699582641478334,2.287215482222492e-05
3.208699997370444e+18,2.0,70203.26164073565,5014.518688623975,1.0281808322605572,2.4245075329471396e-05
3.401304938279246e+18,2.0,74417.27200973245,5315.519429266604,1.089898259443964,2.570040655550972e-05
3.6054711542504986e+18,2.0,78884.2319280093,5634.587994857807,1.1553203275802317,2.724309527368616e-05
3.821892620633115e+18,2.0,83619.32490696704,5972.8089219262165,1.2246694108870808,2.8878385191615943e-05
4.051304969235378e+18,2.0,88638.64586116622,6331.331847226159,1.2981812317834025,3.06118347749148e-05
4.294487988789272e+18,2.0,93959.25581607537,6711.375415433955,1.3761056621263652,3.2449336140815094e-05
4.5522682755073096e+18,2.0,99599.23989969831,7114.231421407021,1.458707572543457,3.439713508588736e-05
4.825522042741279e+18,2.0,105577.768815198,7541.269201085572,1.5462677327464052,3.6461852315942747e-05
5.115178099293145e+18,2.0,111915.16400346707,7993.940285961933,1.639083765887202,3.865050595027841e-05
5.422221006501592e+18,2.0,118632.96671713663,8473.783336938332,1.7374711602001627,4.0970535376759326e-05
5.747694424835359e+18,2.0,125754.01124081141,8982.429374343672,1.8417643413686562,4.3429826538821713e-05
6.092704661368687e+18,2.0,133302.50250641134,9521.607321886524,1.9523178092615587,4.6036738740350154e-05
6.458424430196991e+18,2.0,141304.09836744022,10093.149883388589,2.0695073429032766,4.8800133059540356e-05
6.846096838574672e+18,2.0,149785.99681183707,10698.999772274075,2.193731277773122,5.172940246832807e-05
7.257039612324231e+18,2.0,158777.0284098526,11341.21631498947,2.3254118597756603,5.48345037597623e-05
7.692649574879161e+18,2.0,168307.75431118844,12021.982450799174,2.464996680484285,5.812599139184622e-05
8.154407395185187e+18,2.0,178410.57012449775,12743.61215174984,2.612960198536502,6.161505336288332e-05
8.643882620598297e+18,2.0,189119.81603234058,13508.558288024326,2.769805352352256,6.531354924027177e-05
9.162739011886769e+18,2.0,200471.89351588325,14319.420965420231,2.9360652696570457,6.923405047200918e-05
9.712740198471207e+18,2.0,212505.38908609707,15178.95636329265,3.112305079620618,7.338988311793007e-05
1.0295755673125085e+19,2.0,225261.20544202506,16090.08610300179,3.299123833770791,7.779517314592109e-05
1.0913767146512693e+19,2.0,238782.7005019441,17055.907178710295,3.497156542211899,8.246489444708339e-05
1.1568875283162786e+19,2.0,253115.8347799729,18079.702484283778,3.7070763320687097,8.741491973303953e-05
1.2263306841775593e+19,2.0,268309.32760910335,19164.951972078812,3.929596735493038,9.266207448840072e-05
1.2999422244132422e+19,2.0,284414.8227416437,20315.344481545977,4.165474115009762,9.822419416177355e-05
1.377972359833554e+19,2.0,301487.0638899699,21534.790277854994,4.41551023444632,0.00010412018478970602
1.460686320364986e+19,2.0,319584.08080426016,22827.43434316144,4.680554984184438,0.00011037008725963759
1.548365256585496e+19,2.0,338767.38651970314,24197.67046569308,4.961509269997393,0.00011699514543028701
1.6413071953751267e+19,2.0,359102.1864436376,25650.156174545544,5.259328075292203,0.00012401787834102467
1.7398280529303622e+19,2.0,380657.5999933242,27189.82857095173,5.575023707165483,0.00013146215675567332
1.8442627085855328e+19,2.0,403506.89553771424,28821.921109836734,5.909669237306584,0.00013935328430091605
1.9549661430912594e+19,2.0,427727.73944179557,30551.98138869968,6.264402149443833,0.00014771808347510532
2.0723146452190294e+19,2.0,453402.4600600384,32385.890004288456,6.640428205731857,0.00015658498681982443
2.1967070907932353e+19,2.0,480618.3275762709,34329.8805411622,7.039025545222077,0.00016598413356409892
2.3285662984981967e+19,2.0,509467.8506411809,36390.56076008434,7.461549028347361,0.0001759474720697589
2.468340467068651e+19,2.0,540049.0908157356,38574.93505826683,7.9094348421880785,0.00018650886842617138
2.6165046987488236e+19,2.0,572465.9958893353,40890.42827780966,8.384205382173148,0.00019770422156346347
2.773562614198418e+19,2.0,606828.7532056699,43344.91094326214,8.887474426809323,0.00020957158527551434
2.9400480643347137e+19,2.0,643254.1641972625,45946.72601409017,9.420952623028015,0.00022215129756748104
3.1165269449294365e+19,2.0,681866.0414017648,48704.717242983206,9.986453300794697,0.0002354861177675194
3.303599120128346e+19,2.0,722795.6293094946,51628.25923639247,10.58589863674519,0.0002496213718687522
3.50190046143172e+19,2.0,766182.0504727019,54727.2893194787,11.221326187799441,0.00026460510659551253
3.712105009066372e+19,2.0,812172.7783929234,58012.34131378024,11.894895816961002,0.0002804882527175438
3.934927263095861e+19,2.0,860924.1387938025,61494.581342414465,12.608897034843519,0.00029732479816727366
4.171124612056533e+19,2.0,912601.8409832348,65185.84578451678,13.365756781878584,0.00031517197154859927
4.421499907374468e+19,2.0,967381.5411109691,69098.68150792636,14.168047677657075,0.0003340904366609398
4.6869041923142115e+19,2.0,1025449.4392362734,73246.38851687667,15.018496765444945,0.00035414449869977763
4.9682395947343675e+19,2.0,1087002.9122349636,77643.06515964026,15.919994781594067,0.0003754023228345166
5.266462393484259e+19,2.0,1152251.1846974203,82303.65604981573,16.875605981360387,0.0003979361659067337
5.582586268862678e+19,2.0,1221416.040097619,87244.00286411564,17.88857855452205,0.0004218226220362419
5.917685748188806e+19,2.0,1294732.5746508196,92480.89818934425,18.962355666205827,0.000447142882969912
6.272899858196231e+19,2.0,1372449.9964221553,98032.14260158251,20.10058716044783,0.0004739830140581375
6.649435996665032e+19,2.0,1454832.4724023978,103916.60517159985,21.30714196627043,0.0005024342467970216
7.048574036451889e+19,2.0,1542160.0264301673,110154.28760215481,22.58612124844456,0.0005325932889306595
7.471670675868067e+19,2.0,1634729.4910126824,116766.3922151916,23.941872347637613,0.0005645626531675717
7.920164050192541e+19,2.0,1732855.5162803617,123775.39402002582,25.379003557330584,0.0005984510056286206
8.395578619995103e+19,2.0,1836871.6395047787,131205.11710748417,26.90239978773224,0.0006343735352108109
8.899530352885224e+19,2.0,1947131.4188153427,139080.81562966734,28.51723916993296,0.0006724523451224625
9.433732216299774e+19,2.0,2064009.634968283,147429.25964059166,30.229010656737064,0.000712816867920617
1e+20,2.0,2187903.5652528377,156278.8260894884,32.04353268,0.0007556043054614154
1e+18,2.101531698522466,23566.066567780435,1601.9653382441513,0.3367024982983028,7.939631997336085e-06
1.0600258488068824e+18,2.101531698522466,24980.639716550955,1698.1246674314611,0.35691335155405635,8.416215147190467e-06
1.1236548001387516e+18,2.101531698522466,26480.12381927585,1800.05604197394,0.3783373784315978,8.921405605141916e-06
1.191103133283008e+18,2.101531698522466,28069.615728039225,1908.1059337933825,0.40104740070732514,9.456920549141039e-06
1.2626001098748577e+18,2.101531698522466,29754.518237797794,2022.6416120827794,0.4251206113465762,1.0024580232202477e-05
1.3383887531737592e+18,2.101531698522466,31540.558450861477,2144.0523916801694,0.45063883688795525,1.0626314169573126e-05
1.418726674116599e+18,2.101531698522466,33433.807243717514,2272.750956377198,0.477688815577501,1.1264167697290354e-05
1.5038869469554132e+18,2.101531698522466,35440.69990236736,2409.174761660393,0.5063624921980948,1.1940308924423275e-05
1.5941590374560028e+18,2.101531698522466,37568.05799631696,2553.7875216531766,0.5367573305962539,1.2657036102628175e-05
1.689849786812462e+18,2.101531698522466,39823.11256557207,2707.080785312833,0.5689766449686104,1.3416785438067787e-05
1.7912844546220096e+18,2.101531698522466,42213.52869945257,2869.575607240038,0.6031299510341435,1.4222139372247627e-05
1.898807824465269e+18,2.101531698522466,44747.43159077089,3041.8243187801463,0.6393333382858213,1.507583535991657e-05
2.0127853758499466e+18,2.101531698522466,47433.434153934824,3224.412405436342,0.6777098645869655,1.5980775173868376e-05
2.133604526501402e+18,2.101531698522466,50280.66630084971,3417.960496976071,0.7183899744535895,1.694003476827164e-05
2.2616759492228552e+18,2.101531698522466,53298.80597413382,3623.1264769954532,0.7615119424445207,1.7956874734055242e-05
2.3974349678010685e+18,2.101531698522466,56498.11204312454,3840.6077191117956,0.807222343166331,1.9034751381885772e-05
2.541343036702629e+18,2.101531698522466,59889.45917449945,4071.143457385746,0.8556765494907705,2.0177328490411443e-05
2.693889309590164e+18,2.101531698522466,63484.3747960339,4315.517299029911,0.9070392606780984,2.138848975970368e-05
2.8555923019901005e+18,2.101531698522466,67295.0782791401,4574.559887944966,0.9614850622014683,2.267235201222721e-05
3.0270016537634555e+18,2.101531698522466,71334.52247337108,4849.15172813678,1.0191990191752496,2.4033279186209577e-05
3.208699997370444e+18,2.101531698522466,75616.43773406881,5140.226176611552,1.0803773054043861,2.547589716897459e-05
3.401304938279246e+18,2.101531698522466,80155.37859280905,5448.772615922016,1.1452278701929768,2.700510952065914e-05
3.6054711542504986e+18,2.101531698522466,84966.77322927944,5775.839817148431,1.2139711451786084,2.8626114141759527e-05
3.821892620633115e+18,2.101531698522466,90066.97591274884,6122.539504745356,1.2868407935950175,3.0344420941161342e-05
4.051304969235378e+18,2.101531698522466,95473.32259138064,6490.050135371365,1.3640845045098808,3.2165870564707895e-05
4.294487988789272e+18,2.101531698522466,101204.18981834153,6879.6209035462525,1.445964834737402,3.40966542479668e-05
4.5522682755073096e+18,2.101531698522466,107279.05721500034,7292.575987751187,1.5327601012874177,3.614333486067579e-05
4.825522042741279e+18,2.101531698522466,113718.57368353283,7730.319051404642,1.6247653273845182,3.8312869214399244e-05
5.115178099293145e+18,2.101531698522466,120544.62759399488,8194.33801401322,1.722293245272766,4.0612631709220635e-05
5.422221006501592e+18,2.101531698522466,127780.42118443397,8686.210108714866,1.8256753592146238,4.3050439399847904e-05
5.747694424835359e+18,2.101531698522466,135450.5494269306,9207.6072434054,1.935263072297292,4.5634578566333044e-05
6.092704661368687e+18,2.101531698522466,143581.08362764068,9760.301683671207,2.0514288808765517,4.837383287972154e-05
6.458424430196991e+18,2.101531698522466,152199.66004500174,10346.172076844814,2.1745676407181196,5.1277513258369105e-05
6.846096838574672e+18,2.101531698522466,161335.57382732196,10967.20983765949,2.3050979091402044,5.435548951640887e-05
7.257039612324231e+18,2.101531698522466,171019.8785890524,11625.525917208193,2.4434633677193154,5.7618223911944924e-05
7.692649574879161e+18,2.101531698522466,181285.4919642102,12323.357978215023,2.5901343303951903,6.107680670900442e-05
8.154407395185187e+18,2.101531698522466,192167.3074957352,13063.078001008447,2.7456093421010084,6.47429938741263e-05
8.643882620598297e+18,2.101531698522466,203702.3132410999,13847.200346049493,2.910416873352727,6.862924703571953e-05
9.162739011886769e+18,2.101531698522466,215929.7174973224,14678.390300420071,3.0851171165575972,7.274877584201581e-05
9.712740198471207e+18,2.101531698522466,228891.08207272948,15559.473137321495,3.270303890147609,7.711558286159443e-05
1.0295755673125085e+19,2.101531698522466,242630.46355846888,16493.44371937697,3.4666066570101406,8.174451117909845e-05
1.0913767146512693e+19,2.101531698522466,257194.56307997336,17483.476678381114,3.6746926640767628,8.665129484792751e-05
1.1568875283162786e+19,2.101531698522466,272632.88503736403,18532.937206096278,3.895269210342395,9.18526123713898e-05
1.2263306841775593e+19,2.101531698522466,288997.90537440096,19645.392492776857,4.129086051024512,9.736614339411203e-05
1.2999422244132422e+19,2.101531698522466,306345.2499479104,20824.62385230014,4.376937946033916,0.00010321062879639623
1.377972359833554e+19,2.101531698522466,324733.88360399037,22074.63957511851,4.639667361419654,0.00010940593439579197
1.460686320364986e+19,2.101531698522466,344226.31060367526,23399.688552720996,4.918167332970459,0.0001159731184724095
1.548365256585496e+19,2.101531698522466,364888.78707932244,24804.274719914767,5.213384501706291,0.000122934503347497
1.6413071953751267e+19,2.101531698522466,386791.54624387255,26293.172364016744,5.526322331577858,0.00013031375125858308
