material,velocity,magnetic_field,re,ha,interaction,rm,feedback,classification
PbLi,0.01123654800138751,0.6043849968485473,3121.263333718753,653.627953992552,136.87710922214222,0.0005648105064458892,3.4136299615832516e-06,drag-important
PbLi,0.01123654800138751,0.6277437668047968,3121.263333718753,678.8899063803476,147.6618457680721,0.0005648105064458892,3.545562748472675e-06,drag-important
PbLi,0.01123654800138751,0.652005325772544,3121.263333718753,705.1282035443193,159.29632660671896,0.0005648105064458892,3.682594582550076e-06,drag-important
PbLi,0.01123654800138751,0.6772045654862772,3121.263333718753,732.3805800628296,171.84750426491834,0.0005648105064458892,3.824922535997726e-06,drag-important
PbLi,0.01123654800138751,0.7033777262050231,3121.263333718753,760.6862289113551,185.38760655159706,0.0005648105064458892,3.972751297606172e-06,drag-important
PbLi,0.01123654800138751,0.7305624488312371,3121.263333718753,790.0858578278219,199.9945522045379,0.0005648105064458892,4.126293467147201e-06,drag-important
PbLi,0.01123654800138751,0.7587978290440246,3121.263333718753,820.6217478563939,215.75239928652638,0.0005648105064458892,4.285769861123969e-06,drag-important
PbLi,0.01123654800138751,0.7881244735245502,3121.263333718753,852.3378141539105,232.7518289112503,0.0005648105064458892,4.45140983033801e-06,drag-important
PbLi,0.01123654800138751,0.818584558354491,3121.263333718753,885.2796691464209,251.09066708263043,0.0005648105064458892,4.623451589729846e-06,drag-important
PbLi,0.01123654800138751,0.8502218896715226,3121.263333718753,919.4946881266453,270.8744476505933,0.0005648105064458892,4.802142560967537e-06,drag-important
PbLi,0.01123654800138751,0.8830819666690685,3121.263333718753,955.0320773866998,292.21701962290774,0.0005648105064458892,4.987739728275884e-06,drag-important
PbLi,0.01123654800138751,0.9172120470309147,3121.263333718753,991.9429449840719,315.2412023279592,0.0005648105064458892,5.180510008018019e-06,drag-important
PbLi,0.01123654800138751,0.9526612148947965,3121.263333718753,1030.2803742426179,340.0794921987042,0.0005648105064458892,5.380730632560862e-06,drag-important
PbLi,0.01123654800138751,0.989480451442697,3121.263333718753,1070.0995000942853,366.87482524511074,0.0005648105064458892,5.588689548976569e-06,drag-important
PbLi,0.01123654800138751,1.0277227082193783,3121.263333718753,1111.4575883713571,395.7813996028524,0.0005648105064458892,5.804685833153279e-06,drag-important
PbLi,0.01123654800138751,1.067442983284588,3121.263333718753,1154.4141181632444,426.9655628917545,0.0005648105064458892,6.02903011991079e-06,drag-important
PbLi,0.01123654800138751,1.1086984003084581,3121.263333718753,1199.0308673562743,460.60676949043466,0.0005648105064458892,6.262045049739675e-06,drag-important
PbLi,0.01123654800138751,1.1515482907238497,3121.263333718753,1245.3720014794894,496.898613235938,0.0005648105064458892,6.5040657328063575e-06,drag-important
PbLi,0.01123654800138751,1.1960542790537871,3121.263333718753,1293.5041659842332,536.0499414912003,0.0005648105064458892,6.7554402308914244e-06,drag-important
PbLi,0.01123654800138751,1.2422803715366988,3121.263333718753,1343.4965820902332,578.2860569914284,0.0005648105064458892,7.016530057954304e-06,drag-important
PbLi,0.01123654800138751,1.290293048176919,3121.263333718753,1395.4211463360216,623.850014385615,0.0005648105064458892,7.287710700044159e-06,drag-important
PbLi,0.01123654800138751,1.3401613583528338,3121.263333718753,1449.3525339768655,673.0040189343541,0.0005648105064458892,7.56937215530475e-06,drag-important
PbLi,0.01123654800138751,1.3919570201201679,3121.263333718753,1505.3683063789003,726.0309354129852,0.0005648105064458892,7.861919494849828e-06,drag-important
PbLi,0.01123654800138751,1.4457545233532292,3121.263333718753,1563.549022563927,783.2359159033052,0.0005648105064458892,8.165773445315726e-06,drag-important
PbLi,0.01123654800138751,1.5016312368724398,3121.263333718753,1623.9783550652794,844.9481558412366,0.0005648105064458892,8.481370993928897e-06,drag-important
PbLi,0.01123654800138751,1.5596675197122196,3121.263333718753,1686.743210261386,911.5227884259151,0.0005648105064458892,8.809166016958629e-06,drag-important
PbLi,0.01123654800138751,1.6199468366892449,3121.263333718753,1751.9338533600842,983.3429282918923,0.0005648105064458892,9.149629932458687e-06,drag-important
PbLi,0.01123654800138751,1.682555878437282,3121.263333718753,1819.6440382134297,1060.8218762050885,0.0005648105064458892,9.503252378236694e-06,drag-important
PbLi,0.01123654800138751,1.747584686081229,3121.263333718753,1889.9711421496968,1144.4054974697913,0.0005648105064458892,9.870541916026195e-06,drag-important
