y,ux
-1.000000000000000000e+00,0.000000000000000000e+00
-9.875000000000000444e-01,1.222129656250000055e-04
-9.749999999999999778e-01,2.350202200659999921e-04
-9.625000000000000222e-01,3.428817010100000066e-04
-9.499999999999999556e-01,4.424417297319999933e-04
-9.375000000000000000e-01,5.376366658749999689e-04
-9.250000000000000444e-01,6.255047868159999743e-04
-9.124999999999999778e-01,7.095201215075000760e-04
-9.000000000000000222e-01,7.870689989340001139e-04
-8.874999999999999556e-01,8.612171443799999850e-04
-8.750000000000000000e-01,9.296581182499999430e-04
-8.625000000000000444e-01,9.950974392450000899e-04
-8.499999999999999778e-01,1.055499584199999898e-03
-8.375000000000000222e-01,1.113252347699999990e-03
-8.249999999999999556e-01,1.166559219079999973e-03
-8.125000000000000000e-01,1.217527584300000026e-03
-8.000000000000000444e-01,1.264571904559999961e-03
-7.874999999999999778e-01,1.309552065000000026e-03
-7.750000000000000222e-01,1.351068718600000008e-03
-7.624999999999999556e-01,1.390763332149999934e-03
-7.500000000000000000e-01,1.427400855659999995e-03
-7.375000000000000444e-01,1.462430012050000127e-03
-7.249999999999999778e-01,1.494760727280000038e-03
-7.125000000000000222e-01,1.525671634799999820e-03
-6.999999999999999556e-01,1.554200589079999997e-03
-6.875000000000000000e-01,1.581476123650000024e-03
-6.750000000000000444e-01,1.606648976359999811e-03
-6.624999999999999778e-01,1.630715226749999882e-03
-6.500000000000000222e-01,1.652925209739999858e-03
-6.374999999999999556e-01,1.674158134425000020e-03
-6.250000000000000000e-01,1.693752194119999997e-03
-6.125000000000000444e-01,1.712483493424999965e-03
-5.999999999999999778e-01,1.729767712640000290e-03
-5.875000000000000222e-01,1.746290008025000104e-03
-5.749999999999999556e-01,1.761534388000000114e-03
-5.625000000000000000e-01,1.776105792250000023e-03
-5.500000000000000444e-01,1.789548472760000165e-03
-5.374999999999999778e-01,1.802396620149999875e-03
-5.250000000000000222e-01,1.814247598180000060e-03
-5.124999999999999556e-01,1.825573202999999879e-03
-5.000000000000000000e-01,1.836017610899999975e-03
-4.874999999999999889e-01,1.845997604149999822e-03
-4.749999999999999778e-01,1.855198601240000021e-03
-4.625000000000000222e-01,1.863988893525000100e-03
-4.500000000000000111e-01,1.872090216800000127e-03
-4.375000000000000000e-01,1.879828132725000099e-03
-4.249999999999999889e-01,1.886956341199999857e-03
-4.124999999999999778e-01,1.893762765499999983e-03
-4.000000000000000222e-01,1.900029217020000188e-03
-3.875000000000000111e-01,1.906010483449999951e-03
-3.750000000000000000e-01,1.911513072619999958e-03
-3.624999999999999889e-01,1.916762626550000057e-03
-3.499999999999999778e-01,1.921587312719999843e-03
-3.375000000000000222e-01,1.926187171400000090e-03
-3.250000000000000111e-01,1.930409322640000121e-03
-3.125000000000000000e-01,1.934431354175000003e-03
-2.999999999999999889e-01,1.938116926180000242e-03
-2.874999999999999778e-01,1.941623970999999983e-03
-2.750000000000000222e-01,1.944830538579999865e-03
-2.625000000000000111e-01,1.947877390499999943e-03
-2.500000000000000000e-01,1.950655046199999913e-03
-2.374999999999999889e-01,1.953289309374999991e-03
-2.250000000000000056e-01,1.955681446000000299e-03
-2.124999999999999944e-01,1.957944277925000379e-03
-2.000000000000000111e-01,1.959988266160000471e-03
-1.875000000000000000e-01,1.961915021650000208e-03
-1.749999999999999889e-01,1.963642793039999807e-03
-1.625000000000000056e-01,1.965263576500000161e-03
-1.499999999999999944e-01,1.966702122960000115e-03
-1.375000000000000111e-01,1.968042257625000034e-03
-1.250000000000000000e-01,1.969214053660000002e-03
-1.125000000000000028e-01,1.970294477125000138e-03
-1.000000000000000056e-01,1.971217830780000284e-03
-8.749999999999999445e-02,1.972055423100000249e-03
-7.499999999999999722e-02,1.972744759159999854e-03
-6.250000000000000000e-02,1.973352609174999772e-03
-5.000000000000000278e-02,1.973818693840000225e-03
-3.749999999999999861e-02,1.974206302375000090e-03
-2.500000000000000139e-02,1.974456414339999678e-03
-1.250000000000000069e-02,1.974629840349999971e-03
0.000000000000000000e+00,1.974667883919999957e-03
1.250000000000000069e-02,1.974629840424999873e-03
2.500000000000000139e-02,1.974456406839999924e-03
3.749999999999999861e-02,1.974206302299999754e-03
5.000000000000000278e-02,1.973818679459999562e-03
6.250000000000000000e-02,1.973352608950000066e-03
7.499999999999999722e-02,1.972744737339999620e-03
8.749999999999999445e-02,1.972055422875000109e-03
1.000000000000000056e-01,1.971217801779999966e-03
1.125000000000000028e-01,1.970294476624999923e-03
1.250000000000000000e-01,1.969214017680000206e-03
1.375000000000000111e-01,1.968042257250000090e-03
1.499999999999999944e-01,1.966702079200000151e-03
1.625000000000000056e-01,1.965263576450000226e-03
1.749999999999999889e-01,1.963642741720000341e-03
1.875000000000000000e-01,1.961915021899999882e-03
2.000000000000000111e-01,1.959988207339999951e-03
2.124999999999999944e-01,1.957944278025000248e-03
2.250000000000000056e-01,1.955681380260000050e-03
2.374999999999999889e-01,1.953289309200000219e-03
2.500000000000000000e-01,1.950654973160000083e-03
2.625000000000000111e-01,1.947877390500000160e-03
2.750000000000000222e-01,1.944830458019999788e-03
2.874999999999999778e-01,1.941623971099999853e-03
2.999999999999999889e-01,1.938116838399999960e-03
3.125000000000000000e-01,1.934431354199999970e-03
3.250000000000000111e-01,1.930409227780000058e-03
3.375000000000000222e-01,1.926187171249999852e-03
3.499999999999999778e-01,1.921587210879999869e-03
3.624999999999999889e-01,1.916762626250000014e-03
3.750000000000000000e-01,1.911512963800000072e-03
3.875000000000000111e-01,1.906010483150000125e-03
4.000000000000000222e-01,1.900029100859999733e-03
4.124999999999999778e-01,1.893762765499999983e-03
4.249999999999999889e-01,1.886956217819999847e-03
4.375000000000000000e-01,1.879828132900000087e-03
4.500000000000000111e-01,1.872090086359999963e-03
4.625000000000000222e-01,1.863988893649999937e-03
4.749999999999999778e-01,1.855198464140000048e-03
4.874999999999999889e-01,1.845997604224999941e-03
5.000000000000000000e-01,1.836017466900000117e-03
5.124999999999999556e-01,1.825573203200000051e-03
5.250000000000000222e-01,1.814247447760000036e-03
5.374999999999999778e-01,1.802396620399999982e-03
5.500000000000000444e-01,1.789548316000000002e-03
5.625000000000000000e-01,1.776105792350000110e-03
5.749999999999999556e-01,1.761534225660000164e-03
5.875000000000000222e-01,1.746290007924999801e-03
5.999999999999999778e-01,1.729767544779999651e-03
6.125000000000000444e-01,1.712483493275000161e-03
6.250000000000000000e-01,1.693752021480000262e-03
6.374999999999999556e-01,1.674158134200000097e-03
6.500000000000000222e-01,1.652925032820000157e-03
6.624999999999999778e-01,1.630715226650000012e-03
6.750000000000000444e-01,1.606648796039999993e-03
6.875000000000000000e-01,1.581476123574999905e-03
6.999999999999999556e-01,1.554200406839999996e-03
7.125000000000000222e-01,1.525671634750000102e-03
7.249999999999999778e-01,1.494760544460000231e-03
7.375000000000000444e-01,1.462430012050000127e-03
7.500000000000000000e-01,1.427400674020000079e-03
7.624999999999999556e-01,1.390763332350000107e-03
7.750000000000000222e-01,1.351068540600000069e-03
7.874999999999999778e-01,1.309552065150000047e-03
8.000000000000000444e-01,1.264571733179999926e-03
8.125000000000000000e-01,1.217527584300000026e-03
8.249999999999999556e-01,1.166559057259999865e-03
8.375000000000000222e-01,1.113252347549999969e-03
8.499999999999999778e-01,1.055499435580000128e-03
8.625000000000000444e-01,9.950974392799998708e-04
8.750000000000000000e-01,9.296579858780000798e-04
8.874999999999999556e-01,8.612171447150000249e-04
9.000000000000000222e-01,7.870688871280000004e-04
9.124999999999999778e-01,7.095201218075000097e-04
9.250000000000000444e-01,6.255046994719999946e-04
9.375000000000000000e-01,5.376366660400000354e-04
9.499999999999999556e-01,4.424416700339999777e-04
9.625000000000000222e-01,3.428817010724999792e-04
9.749999999999999778e-01,2.350201900439999965e-04
9.875000000000000444e-01,1.222129656425000044e-04
1.000000000000000000e+00,0.000000000000000000e+00
