y,u_analytic_norm,u_mhdfoam_norm,u_mug_norm
-9.990280e-01,9.674220e-03,9.720973e-03,
-9.969814e-01,2.973757e-02,2.979447e-02,
-9.947190e-01,5.144474e-02,5.151411e-02,
-9.922177e-01,7.487983e-02,7.496167e-02,
-9.894527e-01,1.001118e-01,1.002108e-01,
-9.863958e-01,1.272072e-01,1.273262e-01,
-9.830164e-01,1.562129e-01,1.563546e-01,
-9.792804e-01,1.871591e-01,1.873267e-01,
-9.751502e-01,2.200512e-01,2.202497e-01,
-9.705842e-01,2.548671e-01,2.551009e-01,
-9.655366e-01,2.915501e-01,2.918255e-01,
-9.599563e-01,3.300061e-01,3.303281e-01,
-9.537873e-01,3.700955e-01,3.704699e-01,
-9.469671e-01,4.116304e-01,4.120626e-01,
-9.394275e-01,4.543676e-01,4.548649e-01,
-9.310925e-01,4.980104e-01,4.985787e-01,
-9.218780e-01,5.422079e-01,5.428528e-01,
-9.116912e-01,5.865557e-01,5.872808e-01,
-9.004295e-01,6.306011e-01,6.314089e-01,
-8.879797e-01,6.738548e-01,6.747453e-01,
-8.742163e-01,7.158045e-01,7.167749e-01,
-8.590007e-01,7.559319e-01,7.569770e-01,
-8.421797e-01,7.937353e-01,7.948437e-01,
-8.235838e-01,8.287540e-01,8.299120e-01,
-8.030257e-01,8.605948e-01,8.617829e-01,
-7.802987e-01,8.889558e-01,8.901503e-01,
-7.551736e-01,9.136494e-01,9.148240e-01,
-7.273976e-01,9.346160e-01,9.357464e-01,
-6.966909e-01,9.519303e-01,9.529852e-01,
-6.627442e-01,9.657964e-01,9.667474e-01,
-6.252158e-01,9.765307e-01,9.773662e-01,
-5.837277e-01,9.845349e-01,9.852290e-01,
-5.378621e-01,9.902613e-01,9.908222e-01,
-4.871571e-01,9.941749e-01,9.945960e-01,
-4.311022e-01,9.967177e-01,9.970187e-01,
-3.691328e-01,9.982800e-01,9.984778e-01,
-3.006250e-01,9.991818e-01,9.992974e-01,
-2.248887e-01,9.996666e-01,9.997207e-01,
-1.411615e-01,9.999044e-01,9.999189e-01,
-4.859997e-02,1.000000e+00,1.000000e+00,
4.859997e-02,1.000000e+00,1.000000e+00,
1.411615e-01,9.999044e-01,9.999189e-01,
2.248887e-01,9.996666e-01,9.997207e-01,
3.006250e-01,9.991818e-01,9.992974e-01,
3.691328e-01,9.982800e-01,9.984778e-01,
4.311022e-01,9.967177e-01,9.970187e-01,
4.871571e-01,9.941749e-01,9.945960e-01,
5.378621e-01,9.902613e-01,9.908222e-01,
5.837277e-01,9.845349e-01,9.852290e-01,
6.252158e-01,9.765307e-01,9.773662e-01,
6.627442e-01,9.657964e-01,9.667474e-01,
6.966908e-01,9.519303e-01,9.529852e-01,
7.273976e-01,9.346160e-01,9.357464e-01,
7.551737e-01,9.136493e-01,9.148240e-01,
7.802987e-01,8.889559e-01,8.901503e-01,
8.030258e-01,8.605947e-01,8.617820e-01,
8.235838e-01,8.287540e-01,8.299110e-01,
8.421797e-01,7.937351e-01,7.948437e-01,
8.590007e-01,7.559319e-01,7.569761e-01,
8.742163e-01,7.158045e-01,7.167749e-01,
8.879797e-01,6.738548e-01,6.747444e-01,
9.004295e-01,6.306011e-01,6.314080e-01,
9.116912e-01,5.865557e-01,5.872798e-01,
9.218780e-01,5.422079e-01,5.428528e-01,
9.310925e-01,4.980104e-01,4.985787e-01,
9.394275e-01,4.543676e-01,4.548640e-01,
9.469672e-01,4.116297e-01,4.120626e-01,
9.537873e-01,3.700955e-01,3.704699e-01,
9.599563e-01,3.300061e-01,3.303281e-01,
9.655366e-01,2.915501e-01,2.918255e-01,
9.705842e-01,2.548671e-01,2.551009e-01,
9.751502e-01,2.200512e-01,2.202497e-01,
9.792804e-01,1.871591e-01,1.873267e-01,
9.830164e-01,1.562129e-01,1.563546e-01,
9.863958e-01,1.272072e-01,1.273262e-01,
9.894526e-01,1.001123e-01,1.002108e-01,
9.922178e-01,7.487873e-02,7.496167e-02,
9.947189e-01,5.144587e-02,5.151411e-02,
9.969814e-01,2.973757e-02,2.979447e-02,
9.990280e-01,9.674220e-03,9.720973e-03,
