y,u_analytic_norm,u_mhdfoam_norm,u_mug_norm
-9.990280e-01,4.743947e-02,4.859988e-02,
-9.969814e-01,1.400903e-01,1.414428e-01,
-9.947190e-01,2.320638e-01,2.336142e-01,
-9.922177e-01,3.223450e-01,3.240848e-01,
-9.894527e-01,4.098432e-01,4.117756e-01,
-9.863958e-01,4.934900e-01,4.955973e-01,
-9.830164e-01,5.722350e-01,5.744943e-01,
-9.792804e-01,6.451224e-01,6.475011e-01,
-9.751502e-01,7.113359e-01,7.137924e-01,
-9.705842e-01,7.702559e-01,7.727407e-01,
-9.655366e-01,8.215006e-01,8.239579e-01,
-9.599563e-01,8.649598e-01,8.673284e-01,
-9.537873e-01,9.008019e-01,9.030226e-01,
-9.469671e-01,9.294648e-01,9.314817e-01,
-9.394275e-01,9.516179e-01,9.533889e-01,
-9.310925e-01,9.681072e-01,9.696040e-01,
-9.218780e-01,9.798811e-01,9.810962e-01,
-9.116912e-01,9.879108e-01,9.888499e-01,
-9.004295e-01,9.931158e-01,9.938000e-01,
-8.879797e-01,9.963059e-01,9.967800e-01,
-8.742163e-01,9.981437e-01,9.984463e-01,
-8.590007e-01,9.991326e-01,9.993187e-01,
-8.421797e-01,9.996259e-01,9.997304e-01,
-8.235838e-01,9.998524e-01,9.998971e-01,
-8.030257e-01,9.999472e-01,9.999658e-01,
-7.802987e-01,9.999830e-01,9.999951e-01,
-7.551736e-01,9.999952e-01,9.999951e-01,
-7.273976e-01,9.999988e-01,9.999951e-01,
-6.966909e-01,9.999997e-01,9.999951e-01,
-6.627442e-01,1.000000e+00,9.999951e-01,
-6.252158e-01,1.000000e+00,9.999951e-01,
-5.837277e-01,1.000000e+00,9.999951e-01,
-5.378621e-01,1.000000e+00,9.999951e-01,
-4.871571e-01,1.000000e+00,9.999951e-01,
-4.311022e-01,1.000000e+00,9.999951e-01,
-3.691328e-01,1.000000e+00,9.999951e-01,
-3.006250e-01,1.000000e+00,1.000005e+00,
-2.248887e-01,1.000000e+00,9.999951e-01,
-1.411615e-01,1.000000e+00,9.999951e-01,
-4.859997e-02,1.000000e+00,9.999951e-01,
4.859997e-02,1.000000e+00,1.000005e+00,
1.411615e-01,1.000000e+00,1.000005e+00,
2.248887e-01,1.000000e+00,9.999951e-01,
3.006250e-01,1.000000e+00,9.999853e-01,
3.691328e-01,1.000000e+00,9.999951e-01,
4.311022e-01,1.000000e+00,1.000005e+00,
4.871571e-01,1.000000e+00,1.000005e+00,
5.378621e-01,1.000000e+00,1.000005e+00,
5.837277e-01,1.000000e+00,1.000005e+00,
6.252158e-01,1.000000e+00,9.999951e-01,
6.627442e-01,1.000000e+00,9.999951e-01,
6.966908e-01,9.999997e-01,9.999951e-01,
7.273976e-01,9.999988e-01,9.999951e-01,
7.551737e-01,9.999952e-01,9.999951e-01,
7.802987e-01,9.999830e-01,9.999951e-01,
8.030258e-01,9.999472e-01,9.999658e-01,
8.235838e-01,9.998524e-01,9.999069e-01,
8.421797e-01,9.996259e-01,9.997304e-01,
8.590007e-01,9.991326e-01,9.993187e-01,
8.742163e-01,9.981437e-01,9.984463e-01,
8.879797e-01,9.963059e-01,9.967800e-01,
9.004295e-01,9.931158e-01,9.938000e-01,
9.116912e-01,9.879108e-01,9.888499e-01,
9.218780e-01,9.798811e-01,9.810962e-01,
9.310925e-01,9.681072e-01,9.696040e-01,
9.394275e-01,9.516179e-01,9.533889e-01,
9.469672e-01,9.294644e-01,9.314817e-01,
9.537873e-01,9.008019e-01,9.030226e-01,
9.599563e-01,8.649598e-01,8.673284e-01,
9.655366e-01,8.215006e-01,8.239579e-01,
9.705842e-01,7.702559e-01,7.727407e-01,
9.751502e-01,7.113359e-01,7.137924e-01,
9.792804e-01,6.451224e-01,6.475011e-01,
9.830164e-01,5.722350e-01,5.744943e-01,
9.863958e-01,4.934900e-01,4.955973e-01,
9.894526e-01,4.098449e-01,4.117756e-01,
9.922178e-01,3.223410e-01,3.240848e-01,
9.947189e-01,2.320683e-01,2.336142e-01,
9.969814e-01,1.400903e-01,1.414418e-01,
9.990280e-01,4.743947e-02,4.859988e-02,
