y,u_analytic_norm,u_mhdfoam_norm,u_mug_norm
-9.990280e-01,4.916142e-03,4.923348e-03,4.812758e-03
-9.969814e-01,1.518884e-02,1.518925e-02,1.494558e-02
-9.947190e-01,2.642353e-02,2.641698e-02,2.614731e-02
-9.922177e-01,3.869777e-02,3.868268e-02,3.853216e-02
-9.894527e-01,5.208818e-02,5.206566e-02,5.222232e-02
-9.863958e-01,6.667824e-02,6.664738e-02,6.693689e-02
-9.830164e-01,8.255020e-02,8.251095e-02,8.238136e-02
-9.792804e-01,9.978769e-02,9.973949e-02,9.945563e-02
-9.751502e-01,1.184727e-01,1.184158e-01,1.183313e-01
-9.705842e-01,1.386850e-01,1.386204e-01,1.383137e-01
-9.655366e-01,1.604989e-01,1.604269e-01,1.603709e-01
-9.599563e-01,1.839824e-01,1.839036e-01,1.839000e-01
-9.537873e-01,2.091925e-01,2.091081e-01,2.087829e-01
-9.469671e-01,2.361727e-01,2.360834e-01,2.357555e-01
-9.394275e-01,2.649476e-01,2.648555e-01,2.648332e-01
-9.310925e-01,2.955205e-01,2.954277e-01,2.950764e-01
-9.218780e-01,3.278687e-01,3.277788e-01,3.273908e-01
-9.116912e-01,3.619378e-01,3.618536e-01,3.618522e-01
-9.004295e-01,3.976354e-01,3.975605e-01,3.972334e-01
-8.879797e-01,4.348285e-01,4.347671e-01,4.346915e-01
-8.742163e-01,4.733385e-01,4.732957e-01,4.728698e-01
-8.590007e-01,5.129373e-01,5.129175e-01,5.124947e-01
-8.421797e-01,5.533457e-01,5.533534e-01,5.528177e-01
-8.235838e-01,5.942336e-01,5.942745e-01,5.936866e-01
-8.030257e-01,6.352219e-01,6.352986e-01,6.346305e-01
-7.802987e-01,6.758884e-01,6.760047e-01,6.752882e-01
-7.551736e-01,7.157776e-01,7.159357e-01,7.151770e-01
-7.273976e-01,7.544129e-01,7.546112e-01,7.538278e-01
-6.966909e-01,7.913139e-01,7.915492e-01,7.907260e-01
-6.627442e-01,8.260169e-01,8.262863e-01,8.255793e-01
-6.252158e-01,8.580969e-01,8.583834e-01,8.575690e-01
-5.837277e-01,8.871914e-01,8.874858e-01,8.866760e-01
-5.378621e-01,9.130223e-01,9.133095e-01,9.125709e-01
-4.871571e-01,9.354131e-01,9.356760e-01,9.349674e-01
-4.311022e-01,9.542991e-01,9.545203e-01,9.538194e-01
-3.691328e-01,9.697262e-01,9.698912e-01,9.692653e-01
-3.006250e-01,9.818338e-01,9.819347e-01,9.813968e-01
-2.248887e-01,9.908172e-01,9.908537e-01,9.903952e-01
-1.411615e-01,9.968581e-01,9.968511e-01,9.964459e-01
-4.859997e-02,1.000000e+00,1.000000e+00,9.995919e-01
4.859997e-02,1.000000e+00,1.000000e+00,9.995919e-01
1.411615e-01,9.968581e-01,9.968511e-01,9.964459e-01
2.248887e-01,9.908172e-01,9.908537e-01,9.903952e-01
3.006250e-01,9.818338e-01,9.819347e-01,9.813967e-01
3.691328e-01,9.697262e-01,9.698912e-01,9.692653e-01
4.311022e-01,9.542991e-01,9.545203e-01,9.538194e-01
4.871571e-01,9.354131e-01,9.356760e-01,9.349673e-01
5.378621e-01,9.130223e-01,9.133095e-01,9.125709e-01
5.837277e-01,8.871914e-01,8.874858e-01,8.866759e-01
6.252158e-01,8.580969e-01,8.583834e-01,8.575689e-01
6.627442e-01,8.260169e-01,8.262782e-01,8.255793e-01
6.966908e-01,7.913140e-01,7.915444e-01,7.907260e-01
7.273976e-01,7.544129e-01,7.546064e-01,7.538277e-01
7.551737e-01,7.157775e-01,7.159309e-01,7.151768e-01
7.802987e-01,6.758885e-01,6.760006e-01,6.752883e-01
8.030258e-01,6.352218e-01,6.352946e-01,6.346303e-01
8.235838e-01,5.942336e-01,5.942704e-01,5.936865e-01
8.421797e-01,5.533456e-01,5.533501e-01,5.528175e-01
8.590007e-01,5.129373e-01,5.129135e-01,5.124946e-01
8.742163e-01,4.733385e-01,4.732917e-01,4.728697e-01
8.879797e-01,4.348285e-01,4.347638e-01,4.346915e-01
9.004295e-01,3.976354e-01,3.975572e-01,3.972334e-01
9.116912e-01,3.619378e-01,3.618503e-01,3.618522e-01
9.218780e-01,3.278687e-01,3.277763e-01,3.273908e-01
9.310925e-01,2.955205e-01,2.954261e-01,2.950764e-01
9.394275e-01,2.649476e-01,2.648531e-01,2.648332e-01
9.469672e-01,2.361722e-01,2.360810e-01,2.357550e-01
9.537873e-01,2.091925e-01,2.091065e-01,2.087829e-01
9.599563e-01,1.839824e-01,1.839020e-01,1.839000e-01
9.655366e-01,1.604989e-01,1.604253e-01,1.603709e-01
9.705842e-01,1.386850e-01,1.386195e-01,1.383137e-01
9.751502e-01,1.184727e-01,1.184150e-01,1.183313e-01
9.792804e-01,9.978769e-02,9.973867e-02,9.945562e-02
9.830164e-01,8.255020e-02,8.251014e-02,8.238136e-02
9.863958e-01,6.667824e-02,6.664681e-02,6.693689e-02
9.894526e-01,5.208847e-02,5.206525e-02,5.222261e-02
9.922178e-01,3.869718e-02,3.868236e-02,3.853157e-02
9.947189e-01,2.642412e-02,2.641673e-02,2.614790e-02
9.969814e-01,1.518884e-02,1.518909e-02,1.494558e-02
9.990280e-01,4.916142e-03,4.923308e-03,4.812758e-03
